confidence,note,relation,source,status,target
0.98,,satisfied_by,SR-001,valid,SYS-001
0.98,,satisfied_by,SR-001,valid,SYS-002
0.98,,satisfied_by,SR-002,valid,SYS-003
0.98,,satisfied_by,SR-002,valid,SYS-004
0.98,,satisfied_by,SR-003,valid,SYS-005
0.98,,satisfied_by,SR-003,valid,SYS-006
0.98,,satisfied_by,SR-004,valid,SYS-007
0.98,,satisfied_by,SR-004,valid,SYS-008
0.98,,satisfied_by,SR-005,valid,SYS-009
0.98,,satisfied_by,SR-005,valid,SYS-010
0.98,,satisfied_by,SR-006,valid,SYS-011
0.98,,satisfied_by,SR-006,valid,SYS-012
0.98,,satisfied_by,SR-007,valid,SYS-013
0.98,,satisfied_by,SR-007,valid,SYS-014
0.98,,satisfied_by,SR-008,valid,SYS-015
0.98,,satisfied_by,SR-008,valid,SYS-016
0.98,,satisfied_by,SR-009,valid,SYS-017
0.98,,satisfied_by,SR-009,valid,SYS-018
0.98,,satisfied_by,SR-010,valid,SYS-019
0.98,,satisfied_by,SR-010,valid,SYS-020
0.98,,satisfied_by,SR-001,valid,SYS-021
0.98,,satisfied_by,SR-001,valid,SYS-022
0.98,,satisfied_by,SR-002,valid,SYS-023
0.98,,satisfied_by,SR-003,valid,SYS-024
0.98,,satisfied_by,SR-004,valid,SYS-025
0.98,,satisfied_by,SR-005,valid,SYS-026
0.98,,satisfied_by,SR-007,valid,SYS-027
0.98,,satisfied_by,SR-008,valid,SYS-028
0.98,,satisfied_by,SR-009,valid,SYS-029
0.98,,satisfied_by,SR-010,valid,SYS-030
0.98,,refined_by,SYS-001,valid,SWR-001
0.98,,refined_by,SYS-002,valid,SWR-002
0.98,,refined_by,SYS-003,valid,SWR-003
0.98,,refined_by,SYS-004,valid,SWR-004
0.98,,refined_by,SYS-005,valid,SWR-005
0.98,,refined_by,SYS-006,valid,SWR-006
0.98,,refined_by,SYS-007,valid,SWR-007
0.98,,refined_by,SYS-008,valid,SWR-008
0.98,,refined_by,SYS-009,valid,SWR-009
0.98,,refined_by,SYS-010,valid,SWR-010
0.98,,refined_by,SYS-011,valid,SWR-011
0.98,,refined_by,SYS-012,valid,SWR-012
0.98,,refined_by,SYS-013,valid,SWR-013
0.98,,refined_by,SYS-014,valid,SWR-014
0.98,,refined_by,SYS-015,valid,SWR-015
0.98,,refined_by,SYS-016,valid,SWR-016
0.98,,refined_by,SYS-017,valid,SWR-017
0.98,,refined_by,SYS-018,valid,SWR-018
0.98,,refined_by,SYS-019,valid,SWR-019
0.98,,refined_by,SYS-020,valid,SWR-020
0.98,,refined_by,SYS-021,valid,SWR-021
0.98,,refined_by,SYS-022,valid,SWR-022
0.98,,refined_by,SYS-023,valid,SWR-023
0.98,,refined_by,SYS-024,valid,SWR-024
0.98,,refined_by,SYS-025,valid,SWR-025
0.98,,refined_by,SYS-026,valid,SWR-026
0.98,,refined_by,SYS-027,valid,SWR-027
0.98,,refined_by,SYS-028,valid,SWR-028
0.98,,refined_by,SYS-029,valid,SWR-029
0.98,,refined_by,SYS-030,valid,SWR-030
0.94,,implemented_by,SWR-001,valid,COMP-001
0.94,,implemented_by,SWR-002,valid,COMP-002
0.94,,implemented_by,SWR-003,valid,COMP-003
0.94,,implemented_by,SWR-004,valid,COMP-004
0.94,,implemented_by,SWR-005,valid,COMP-005
0.94,,implemented_by,SWR-006,valid,COMP-005
0.94,,implemented_by,SWR-007,valid,COMP-006
0.94,,implemented_by,SWR-008,valid,COMP-006
0.94,,implemented_by,SWR-009,valid,COMP-007
0.94,,implemented_by,SWR-010,valid,COMP-008
0.94,,implemented_by,SWR-011,valid,COMP-009
0.94,,implemented_by,SWR-012,valid,COMP-010
0.94,,implemented_by,SWR-013,valid,COMP-011
0.94,,implemented_by,SWR-014,valid,COMP-011
0.94,,implemented_by,SWR-015,valid,COMP-012
0.94,,implemented_by,SWR-016,valid,COMP-012
0.94,,implemented_by,SWR-017,valid,COMP-013
0.94,,implemented_by,SWR-018,valid,COMP-013
0.94,,implemented_by,SWR-019,valid,COMP-014
