id,type,text
SYS-001,system_requirement,The obstacle detection system shall detect objects at distances up to 2 meters.
SYS-002,system_requirement,The obstacle detection system shall publish obstacle distance measurements to the vehicle controller.
SYS-003,system_requirement,The lighting controller shall measure ambient light intensity.
SYS-004,system_requirement,The lighting controller shall activate the headlights when ambient light is below 100 lux.
SYS-005,system_requirement,The tire pressure monitoring system shall acquire tire pressure measurements.
SYS-006,system_requirement,The tire pressure monitoring system shall generate a warning when pressure falls below the configured threshold.
SYS-007,system_requirement,The parking assistance system shall detect obstacles at distances up to 1.5 meters.
SYS-008,system_requirement,The parking assistance system shall provide obstacle distance information to the driver warning controller.
SYS-009,system_requirement,The driver warning controller shall detect confirmed hazards.
SYS-010,system_requirement,The driver warning controller shall issue an audible warning within 200 milliseconds of hazard confirmation.
SYS-011,system_requirement,The rain sensor controller shall estimate rainfall intensity.
SYS-012,system_requirement,The wiper controller shall activate the wipers when rainfall exceeds the configured threshold.
SYS-013,system_requirement,The cruise controller shall maintain the requested vehicle speed within 2 km/h.
SYS-014,system_requirement,The cruise controller shall update the requested acceleration based on measured vehicle speed.
SYS-015,system_requirement,The battery monitor shall measure individual cell voltages.
SYS-016,system_requirement,The battery monitor shall report a cell voltage deviation when the difference exceeds 50 mV.
SYS-017,system_requirement,The door controller shall detect door state changes.
SYS-018,system_requirement,The door controller shall report an open-door event within 100 milliseconds.
SYS-019,system_requirement,The lane monitoring system shall determine the vehicle position relative to lane boundaries.
SYS-020,system_requirement,The lane departure controller shall issue a warning when a lane boundary crossing is detected.
SYS-021,system_requirement,The obstacle detection system shall process sensor measurements at 20 Hz.
SYS-022,system_requirement,The obstacle detection system shall reject obstacle measurements with invalid sensor quality flags.
SYS-023,system_requirement,The lighting controller shall sample ambient light at least every 100 milliseconds.
SYS-024,system_requirement,The tire pressure monitoring system shall update pressure status at least every 1 second.
SYS-025,system_requirement,The parking assistance system shall process proximity sensor measurements at 20 Hz.
SYS-026,system_requirement,The warning controller shall timestamp hazard confirmation events.
SYS-027,system_requirement,The cruise controller shall sample vehicle speed at least every 20 milliseconds.
SYS-028,system_requirement,The battery monitor shall sample cell voltage at least every 100 milliseconds.
SYS-029,system_requirement,The door controller shall sample door state at least every 20 milliseconds.
SYS-030,system_requirement,The lane monitoring system shall update lane position at least every 50 milliseconds.
SWR-001,software_requirement,The obstacle detector shall classify an obstacle as detected when distance <= 2 meters.
SWR-002,software_requirement,The obstacle processing task shall publish obstacle distance measurements.
SWR-003,software_requirement,The ambient-light task shall calculate filtered lux values.
SWR-004,software_requirement,The headlight controller shall enable the headlight output when filtered lux < 100.
SWR-005,software_requirement,The tire-pressure task shall calculate pressure deviation from the configured threshold.
SWR-006,software_requirement,The tire-pressure warning task shall set the warning flag when pressure is below threshold.
SWR-007,software_requirement,The parking detector shall classify proximity measurements up to 1.5 meters.
SWR-008,software_requirement,The parking warning task shall publish obstacle distance to the warning controller.
SWR-009,software_requirement,The hazard manager shall detect confirmed hazard events.
SWR-010,software_requirement,The warning output task shall generate an audible warning within 200 milliseconds.
SWR-011,software_requirement,The rain estimator shall calculate rainfall intensity from sensor readings.
SWR-012,software_requirement,The wiper controller shall enable wiping when rainfall exceeds the configured threshold.
SWR-013,software_requirement,The cruise controller shall calculate speed error using the configured target speed.
SWR-014,software_requirement,The cruise controller shall constrain speed error to the defined tolerance.
SWR-015,software_requirement,The battery monitor shall calculate voltage deviation across cells.
SWR-016,software_requirement,The battery diagnostic task shall report deviation when it exceeds 50 mV.
SWR-017,software_requirement,The door monitor shall detect door-state transitions.
SWR-018,software_requirement,The door event task shall publish an open-door event within 100 milliseconds.
SWR-019,software_requirement,The lane estimator shall calculate lateral distance to lane boundaries.
SWR-020,software_requirement,The lane warning task shall generate a warning when a boundary crossing is confirmed.
SWR-021,software_requirement,The obstacle processing task shall execute every 50 milliseconds.
SWR-022,software_requirement,The obstacle processing task shall ignore measurements marked invalid.
SWR-023,software_requirement,The ambient-light task shall execute at least every 100 milliseconds.
SWR-024,software_requirement,The tire-pressure acquisition task shall update status every 1 second.
SWR-025,software_requirement,The parking processing task shall execute every 50 milliseconds.
SWR-026,software_requirement,The hazard manager shall attach a timestamp to confirmed hazards.
SWR-027,software_requirement,The cruise speed task shall execute every 20 milliseconds.
SWR-028,software_requirement,The battery sampling task shall execute every 100 milliseconds.
SWR-029,software_requirement,The door sampling task shall execute every 20 milliseconds.
SWR-030,software_requirement,The lane estimation task shall execute every 50 milliseconds.
COMP-001,component,Processes radar/proximity data and detects obstacles.
COMP-002,component,Publishes obstacle distance measurements.
COMP-003,component,Filters ambient light and controls headlight activation.
COMP-004,component,Controls the headlight output.
COMP-005,component,Processes tire pressure measurements and warnings.
COMP-006,component,Detects obstacles during parking maneuvers.
COMP-007,component,Manages confirmed hazards and warning events.
COMP-008,component,Generates audible driver warnings.
COMP-009,component,Estimates rainfall intensity.
COMP-010,component,Controls windshield wiping.
COMP-011,component,Controls vehicle speed.
COMP-012,component,Monitors individual cell voltages.
COMP-013,component,Monitors door states.
COMP-014,component,Estimates vehicle position relative to lane boundaries.
TC-001,test_case,Verify obstacle detection at 2 meters.
TC-002,test_case,Verify obstacles beyond the configured detection range are not classified as detected.
TC-003,test_case,Verify ambient light is correctly converted to filtered lux.
TC-004,test_case,Verify headlights activate below 100 lux.
TC-005,test_case,Verify low tire pressure generates a driver warning.
TC-006,test_case,Verify parking obstacles are detected at 1.5 meters.
TC-007,test_case,Verify audible warning is generated within 200 milliseconds.
TC-008,test_case,Verify wipers activate above the configured rainfall threshold.
TC-009,test_case,Verify cruise speed remains within 2 km/h tolerance.
TC-010,test_case,Verify cell voltage deviation above 50 mV is reported.
TC-011,test_case,Verify open-door event is published within 100 milliseconds.
TC-012,test_case,Verify lane departure warning is generated after confirmed boundary crossing.
TC-013,test_case,Verify obstacle processing executes every 50 milliseconds.
TC-014,test_case,Verify invalid obstacle measurements are rejected.
TC-015,test_case,Verify ambient-light processing executes at least every 100 milliseconds.
TC-016,test_case,Verify cruise speed processing executes every 20 milliseconds.
TC-017,test_case,Verify battery sampling executes every 100 milliseconds.
TC-018,test_case,Verify door sampling executes every 20 milliseconds.
TC-019,test_case,Verify lane estimation executes every 50 milliseconds.
